qua 26 jan 2022 22:02:36 -03
Population 283 Fitness -48588 Error 3.333
Population 284 Fitness -47996 Error 3.030
Population 285 Fitness -48075 Error 1.818
Population 286 Fitness -48120 Error 2.121
Population 287 Fitness -47775 Error 2.424
Population 288 Fitness -47940 Error 1.818
Population 289 Fitness -47991 Error 3.333
Population 290 Fitness -48266 Error 2.727
Population 291 Fitness -47762 Error 2.424
Population 292 Fitness -47879 Error 2.121
Population 293 Fitness -47797 Error 2.727
Population 294 Fitness -47693 Error 2.121
Population 295 Fitness -47805 Error 3.030
Population 296 Fitness -48055 Error 2.424
Population 297 Fitness -47933 Error 3.636
Population 298 Fitness -47788 Error 2.727
Population 299 Fitness -47842 Error 2.727
Population 300 Fitness -47918 Error 3.030
Population 301 Fitness -47774 Error 1.515
Population 302 Fitness -47800 Error 2.424
Population 303 Fitness -47913 Error 3.636
Population 304 Fitness -47680 Error 2.424
Population 305 Fitness -47707 Error 2.424
Population 306 Fitness -47943 Error 2.424
Population 307 Fitness -47988 Error 3.333
Population 308 Fitness -47828 Error 3.636
Population 309 Fitness -47811 Error 3.030
Population 310 Fitness -47816 Error 3.333
Population 311 Fitness -47515 Error 1.818
Population 312 Fitness -47706 Error 2.121
Population 313 Fitness -47733 Error 1.818
Population 314 Fitness -47808 Error 2.727
Population 315 Fitness -47615 Error 2.424
Population 316 Fitness -47618 Error 4.242
Population 317 Fitness -47654 Error 3.030
Population 318 Fitness -47484 Error 3.333
Population 319 Fitness -47786 Error 3.333
Population 320 Fitness -47596 Error 3.636
Population 321 Fitness -47593 Error 3.333
Population 322 Fitness -47467 Error 2.727
Population 323 Fitness -47477 Error 3.333
Population 324 Fitness -47535 Error 3.939
Population 325 Fitness -47541 Error 2.727
Population 326 Fitness -47646 Error 3.333
Population 327 Fitness -47644 Error 3.030
Population 328 Fitness -47565 Error 2.121
Population 329 Fitness -47789 Error 2.727
Population 330 Fitness -47435 Error 3.636
Population 331 Fitness -47474 Error 3.636
Population 332 Fitness -47337 Error 2.424
Population 333 Fitness -47724 Error 3.636
Population 334 Fitness -47550 Error 1.818
Population 335 Fitness -47495 Error 3.333
Population 336 Fitness -47725 Error 2.727
